Phone,Fname,Lname,State
5553334444,FirstName1,LastName1,CA
5553334445,FirstName2,LastName2,NY
5553334446,FirstName3,LastName3,NJ
5553334447,FirstName4,LastName4,CA
5553334448,FirstName5,LastName5,NC
5553334449,FirstName6,LastName6,FL
5553334450,FirstName7,LastName7,TX
5553334451,FirstName8,LastName8,NY
5553334452,FirstName9,LastName9,NH
5553334453,FirstName10,LastName10,AZ
5553334454,FirstName11,LastName11,NJ
5553334455,FirstName12,LastName12,CA
5553334456,FirstName13,LastName13,NC
5553334457,FirstName14,LastName14,FL
5553334458,FirstName15,LastName15,TX
5553334459,FirstName16,LastName16,NY
5553334460,FirstName17,LastName17,NH
5553334461,FirstName18,LastName18,AZ
5553334462,FirstName19,LastName19,CA
5553334463,FirstName20,LastName20,TN
5553334464,FirstName21,LastName21,NC
